,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
86,86,32,1,"[[1, 86, 32, '687.9', '0.437', 14]]",0,505.2797255516052,479.01637303829193,275.7961408836579,225.65468792287606,687.893004115217
87,87,32,1,"[[1, 87, 32, '613.0', '0.490', 15]]",0,484.4272348880768,476.4089671134949,255.94768681618424,255.1373058258857,612.9597069596982
88,88,32,1,"[[1, 88, 32, '614.7', '0.386', 16]]",0,446.6869795322418,469.06057999134066,183.97075536442344,229.3200360958507,614.6614173228267
89,89,32,1,"[[1, 89, 32, '728.8', '0.355', 17]]",0,441.8578083515167,461.0135404825211,208.48538160061466,222.80551474067576,728.8346456692825
90,90,32,1,"[[1, 90, 32, '621.7', '0.323', 18]]",0,389.41549944877625,446.75808596611023,141.8741065382161,224.7075493824827,621.7190635451386
91,91,32,1,"[[1, 91, 32, '657.8', '0.271', 19]]",0,372.2783465385437,438.8154111862183,117.33166258657204,221.54798927935806,657.7985611510658
92,92,32,1,"[[1, 92, 32, '622.5', '0.290', 20]]",0,380.52120757102966,435.6799317598343,121.31091826518866,210.848684468456,622.5354330708568
93,93,32,1,"[[1, 93, 32, '671.3', '0.375', 21]]",0,422.508553981781,437.68729786872865,199.47470797888874,219.0222907546516,671.3429602887991
94,94,32,1,"[[1, 94, 32, '578.4', '0.301', 22]]",0,376.5350430011749,430.26622076034545,114.85129974756296,174.63493628088904,578.4137931034372
95,95,32,1,"[[1, 95, 32, '551.8', '0.347', 23]]",0,421.5589826107025,424.10693814754484,135.23430559567646,225.4241839863985,551.8333333333243
96,96,32,1,"[[1, 96, 32, '659.8', '0.396', 24]]",0,498.9906532764435,423.4780309200287,236.35458275712242,239.9431250572739,659.8461538461435
97,97,32,1,"[[1, 97, 32, '645.6', '0.489', 25]]",0,500.2200891971588,425.0573163509369,288.68625619542905,247.89405586528164,645.5833333333198
98,98,32,1,"[[1, 98, 32, '605.3', '0.443', 26]]",0,465.75130820274353,426.9637492179871,225.08305464800532,234.42538405459032,605.3464052287461
99,99,32,1,"[[1, 99, 32, '669.1', '0.459', 27]]",0,595.3018198013306,456.9081851482391,263.7434164602256,260.1224168482224,669.0662020905795
100,100,32,1,"[[1, 100, 32, '724.5', '0.483', 28]]",0,717.8854517936707,491.46889567375183,308.72460345240523,265.0769424484647,724.5185185185042
